1,Breathe,Faith Hill,2000
2,Smooth,Santana featuring Rob Thomas,2000
3,Maria Maria,Santana featuring The Product G&B,2000
4,I Wanna Know,Joe,2000
5,Everything You Want,Vertical Horizon,2000
6,Say My Name,Destiny's Child,2000
7,I Knew I Loved You,Savage Garden,2000
8,Amazed,Lonestar,2000
9,Bent,Matchbox Twenty,2000
10,He Wasn't Man Enough,Toni Braxton,2000
1,Hanging by a Moment,Lifehouse,2001
2,Fallin',Alicia Keys,2001
3,All for You,Janet,2001
4,Drops of Jupiter (Tell Me),Train,2001
5,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule,2001
6,If You're Gone,Matchbox Twenty,2001
7,Let Me Blow Ya Mind,Eve featuring Gwen Stefani,2001
8,Thank You,Dido,2001
9,Again,Lenny Kravitz,2001
10,Independent Women Part I,Destiny's Child,2001
1,How You Remind Me,Nickelback,2002
2,Foolish,Ashanti,2002
3,Hot in Herre,Nelly,2002
4,Dilemma,Nelly featuring Kelly Rowland,2002
5,Wherever You Will Go,The Calling,2002
6,A Thousand Miles,Vanessa Carlton,2002
7,In the End,Linkin Park,2002
8,What's Luv?,Fat Joe featuring Ashanti,2002
9,U Got It Bad,Usher,2002
10,Blurry,Puddle of Mudd,2002
1,In da Club,50 Cent,2003
2,Ignition,R. Kelly,2003
3,Get Busy,Sean Paul,2003
4,Crazy in Love,Beyoncé featuring Jay-Z,2003
5,When I'm Gone,3 Doors Down,2003
6,Unwell,Matchbox Twenty,2003
7,Right Thurr,Chingy,2003
8,Miss You,Aaliyah,2003
9,Picture,Kid Rock featuring Sheryl Crow,2003
10,Bring Me to Life,Evanescence featuring Paul McCoy,2003
1,Yeah!,Usher featuring Lil Jon and Ludacris,2004
2,Burn,Usher,2004
3,If I Ain't Got You,Alicia Keys,2004
4,This Love,Maroon 5,2004
5,The Way You Move,OutKast featuring Sleepy Brown,2004
6,The Reason,Hoobastank,2004
7,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy,2004
8,Hey Ya!,OutKast,2004
9,Goodies,Ciara featuring Petey Pablo,2004
10,Lean Back,Terror Squad featuring Fat Joe and Remy Ma,2004
1,We Belong Together,Mariah Carey,2005
2,Hollaback Girl,Gwen Stefani,2005
3,Let Me Love You,Mario,2005
4,Since U Been Gone,Kelly Clarkson,2005
5,"1, 2 Step",Ciara featuring Missy Elliott,2005
6,Gold Digger,Kanye West featuring Jamie Foxx,2005
7,Boulevard of Broken Dreams,Green Day,2005
8,Candy Shop,50 Cent featuring Olivia,2005
9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes,2005
10,Behind These Hazel Eyes,Kelly Clarkson,2005
1,Bad Day,Daniel Powter,2006
2,Temperature,Sean Paul,2006
3,Promiscuous,Nelly Furtado featuring Timbaland,2006
4,You're Beautiful,James Blunt,2006
5,Hips Don't Lie,Shakira featuring Wyclef Jean,2006
6,Unwritten,Natasha Bedingfield,2006
7,Crazy,Gnarls Barkley,2006
8,Ridin',Chamillionaire featuring Krayzie Bone,2006
9,SexyBack,Justin Timberlake featuring Timbaland,2006
10,Check on It,Beyoncé featuring Slim Thug,2006
1,Irreplaceable,Beyoncé,2007
2,Umbrella,Rihanna featuring Jay-Z,2007
3,The Sweet Escape,Gwen Stefani featuring Akon,2007
4,Big Girls Don't Cry,Fergie,2007
5,Buy U a Drank (Shawty Snappin'),T-Pain featuring Yung Joc,2007
6,Before He Cheats,Carrie Underwood,2007
7,Hey There Delilah,Plain White T's,2007
8,I Wanna Love You,Akon featuring Snoop Dogg,2007
9,Say It Right,Nelly Furtado,2007
10,Glamorous,Fergie featuring Ludacris,2007
1,Low,Flo Rida featuring T-Pain,2008
2,Bleeding Love,Leona Lewis,2008
3,No One,Alicia Keys,2008
4,Lollipop,Lil Wayne featuring Static Major,2008
5,Apologize,Timbaland featuring OneRepublic,2008
6,No Air,Jordin Sparks and Chris Brown,2008
7,Love Song,Sara Bareilles,2008
8,Love in This Club,Usher featuring Young Jeezy,2008
9,With You,Chris Brown,2008
10,Forever,Chris Brown,2008
1,Boom Boom Pow,The Black Eyed Peas,2009
2,Poker Face,Lady Gaga,2009
3,Just Dance,Lady Gaga featuring Colby O'Donis,2009
4,I Gotta Feeling,The Black Eyed Peas,2009
5,Love Story,Taylor Swift,2009
6,Right Round,Flo Rida,2009
7,I'm Yours,Jason Mraz,2009
8,Single Ladies (Put a Ring on It),Beyoncé,2009
9,Heartless,Kanye West,2009
10,Gives You Hell,The All-American Rejects,2009
1,Tik Tok,Kesha,2010
2,Need You Now,Lady Antebellum,2010
3,"Hey, Soul Sister",Train,2010
4,California Gurls,Katy Perry featuring Snoop Dogg,2010
5,OMG,Usher featuring will.i.am,2010
6,Airplanes,B.o.B featuring Hayley Williams,2010
7,Love the Way You Lie,Eminem featuring Rihanna,2010
8,Bad Romance,Lady Gaga,2010
9,Dynamite,Taio Cruz,2010
10,Break Your Heart,Taio Cruz featuring Ludacris,2010
1,Rolling in the Deep,Adele,2011
2,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2011
3,Firework,Katy Perry,2011
4,E.T.,Katy Perry featuring Kanye West,2011
5,Give Me Everything,Pitbull featuring Ne-Yo,2011
6,Grenade,Bruno Mars,2011
7,Forget You,CeeLo Green,2011
8,Super Bass,Nicki Minaj,2011
9,Moves like Jagger,Maroon 5 featuring Christina Aguilera,2011
10,Just Can't Get Enough,The Black Eyed Peas,2011
1,Somebody That I Used to Know,Gotye featuring Kimbra,2012
2,Call Me Maybe,Carly Rae Jepsen,2012
3,We Are Young,Fun featuring Janelle Monáe,2012
4,Payphone,Maroon 5 featuring Wiz Khalifa,2012
5,Lights,Ellie Goulding,2012
6,Glad You Came,The Wanted,2012
7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012
8,We Found Love,Rihanna featuring Calvin Harris,2012
9,Starships,Nicki Minaj,2012
10,What Makes You Beautiful,One Direction,2012
1,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,2013
2,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2013
3,Radioactive,Imagine Dragons,2013
4,Harlem Shake,Baauer,2013
5,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,2013
6,Mirrors,Justin Timberlake,2013
7,Just Give Me a Reason,Pink featuring Nate Ruess,2013
8,When I Was Your Man,Bruno Mars,2013
9,Cruise,Florida Georgia Line featuring Nelly,2013
10,Roar,Katy Perry,2013
1,Happy,Pharrell Williams,2014
2,Dark Horse,Katy Perry featuring Juicy J,2014
3,All of Me,John Legend,2014
4,Fancy,Iggy Azalea featuring Charli XCX,2014
5,Counting Stars,OneRepublic,2014
6,Talk Dirty,Jason Derulo featuring 2 Chainz,2014
7,Rude,Magic!,2014
8,All About That Bass,Meghan Trainor,2014
9,Problem,Ariana Grande featuring Iggy Azalea,2014
10,Stay with Me,Sam Smith,2014
1,Uptown Funk,Mark Ronson featuring Bruno Mars,2015
2,Thinking Out Loud,Ed Sheeran,2015
3,See You Again,Wiz Khalifa featuring Charlie Puth,2015
4,Trap Queen,Fetty Wap,2015
5,Sugar,Maroon 5,2015
6,Shut Up and Dance,Walk the Moon,2015
7,Blank Space,Taylor Swift,2015
8,Watch Me,Silentó,2015
9,Earned It,The Weeknd,2015
10,The Hills,The Weeknd,2015
1,Love Yourself,Justin Bieber,2016
2,Sorry,Justin Bieber,2016
3,One Dance,Drake featuring Wizkid and Kyla,2016
4,Work,Rihanna featuring Drake,2016
5,Stressed Out,Twenty One Pilots,2016
6,Panda,Desiigner,2016
7,Hello,Adele,2016
8,Don't Let Me Down,The Chainsmokers featuring Daya,2016
9,Can't Stop the Feeling!,Justin Timberlake,2016
10,Closer,The Chainsmokers featuring Halsey,2016
1,Shape of You,Ed Sheeran,2017
2,Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,2017
3,That's What I Like,Bruno Mars,2017
4,Humble,Kendrick Lamar,2017
5,Something Just Like This,The Chainsmokers and Coldplay,2017
6,Bad and Boujee,Migos featuring Lil Uzi Vert,2017
7,Closer,The Chainsmokers featuring Halsey,2017
8,Body Like a Back Road,Sam Hunt,2017
9,Believer,Imagine Dragons,2017
10,Congratulations,Post Malone featuring Quavo,2017
1,God's Plan,Drake,2018
2,Perfect,Ed Sheeran,2018
3,Meant to Be,Bebe Rexha featuring Florida Georgia Line,2018
4,Havana,Camila Cabello featuring Young Thug,2018
5,Rockstar,Post Malone featuring 21 Savage,2018
6,Psycho,Post Malone featuring Ty Dolla Sign,2018
7,I Like It,Cardi B,2018
8,The Middle,Zedd,2018
9,In My Feelings,Drake,2018
10,Girls Like You,Maroon 5 featuring Cardi B,2018
1,Old Town Road,Lil Nas X featuring Billy Ray Cyrus,2019
2,Sunflower,Post Malone and Swae Lee,2019
3,Without Me,Halsey,2019
4,Bad Guy,Billie Eilish,2019
5,Wow,Post Malone,2019
6,Happier,Marshmello and Bastille,2019
7,7 Rings,Ariana Grande,2019
8,Talk,Khalid,2019
9,Sicko Mode,Travis Scott,2019
10,Sucker,Jonas Brothers,2019
